Date,Min_temp,Max_temp,Rainfall,Evaporation,Sunshine,Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust,9am_temp,9am_humidity,9am_cloud_amount,9am wind direction,9am_wind_speed,9am_pressure,3pm_temp,3pm_humidity,3pm_cloud_amount,3pm wind direction,3pm_wind_speed,3pm_pressure,Time_of_maximum_wind_gust,PRICECATEGORY,TOTALDEMAND
737877,12.4,20.2,0.0,4.4,3.9,202.5,24.0,14.2,76.0,6,337.5,7,1018.8,18.3,55,7.0,202.5,9,1018.6,11:10,1,5019.74
737878,13.8,18.2,1.0,2.8,8.0,202.5,35.0,15.4,73.0,7,202.5,11,1024.0,17.4,55,7.0,180.0,15,1024.7,14:21,1,5536.91
737879,9.8,18.9,0.0,3.6,10.2,202.5,26.0,11.5,84.0,7,45.0,2,1027.1,18.5,60,1.0,202.5,11,1025.7,13:08,1,5826.39
737880,11.4,22.8,0.0,3.2,8.9,180.0,19.0,15.3,77.0,7,0.0,9,1026.6,21.0,58,1.0,180.0,7,1023.7,15:44,1,5769.1
737794,12.4,29.9,0.0,4.4,10.8,337.5,20.0,14.4,86.0,1,45.0,9,1024.3,28.7,30,3.0,135.0,7,1021.6,11:49,1,5807.02
737825,13.5,30.6,0.0,6.6,10.8,0.0,15.0,15.1,75.0,2,22.5,9,1026.2,29.3,28,0.0,202.5,9,1023.1,6:00,1,5439.82
737853,15.1,31.6,0.0,4.4,10.9,0.0,37.0,21.9,55.0,0,337.5,17,1022.3,30.5,32,0.0,0.0,19,1018.3,11:45,1,5723.27
737884,15.2,24.5,0.0,8.6,10.1,180.0,35.0,22.9,50.0,0,337.5,11,1018.5,20.0,72,1.0,180.0,15,1018.0,14:18,1,5014.06
737914,16.0,19.0,0.0,5.8,8.1,202.5,30.0,16.9,58.0,7,157.5,9,1022.7,18.1,58,3.0,202.5,17,1021.5,15:38,1,5078.44
737945,12.8,20.2,0.0,4.0,4.4,202.5,26.0,16.2,64.0,7,135.0,9,1023.7,19.6,59,6.0,202.5,11,1021.5,12:38,1,5573.79
737975,14.9,23.0,0.0,3.2,4.9,202.5,20.0,15.8,82.0,8,0.0,9,1020.2,21.6,61,1.0,202.5,9,1015.8,16:55,1,5876.07
738006,15.4,29.3,0.0,4.6,4.9,337.5,43.0,20.5,73.0,1,0.0,9,1011.0,28.9,25,7.0,337.5,17,1005.0,14:36,1,5978.02
738037,13.8,17.3,6.2,6.4,7.9,180.0,35.0,15.2,59.0,5,270.0,13,1010.0,15.7,62,6.0,180.0,17,1009.6,3:11,1,5688.63
738067,12.9,18.3,0.2,2.8,3.9,247.5,54.0,14.1,71.0,6,292.5,11,1007.9,15.4,53,7.0,225.0,17,1008.0,14:43,1,5366.73
738098,8.1,14.5,3.4,5.2,6.1,180.0,56.0,9.8,75.0,4,292.5,11,1014.8,14.1,56,5.0,202.5,19,1016.9,12:02,1,5829.16
738128,9.7,16.8,10.0,3.2,3.9,270.0,28.0,11.7,95.0,6,292.5,6,1023.7,16.0,65,6.0,202.5,11,1021.8,2:30,1,6415.58
737893,7.8,20.0,0.6,0.0,2.5,0.0,59.0,11.5,81.0,7,22.5,9,1018.8,18.5,46,7.0,0.0,28,1011.6,15:18,0,5990.97
737894,11.5,20.8,0.0,7.8,6.8,0.0,43.0,18.0,46.0,1,315.0,13,1010.9,20.1,46,7.0,247.5,11,1011.1,1:40,1,5731.88
737895,14.0,20.2,0.0,7.4,5.4,225.0,39.0,15.8,52.0,3,292.5,11,1016.2,15.7,71,7.0,292.5,6,1015.3,14:25,1,5936.95
